Item ID,Query Type,Difficulty,Legal Domain,Question,Reference Answer,Constitutional Articles,Supporting Passage(s),Annotated By,Annotation Date,--- EXPERT REVIEW ---,Correctness (1=Poor  5=Excellent),Completeness (1=Poor  5=Excellent),Clarity (1=Poor  5=Excellent),Expert Comments,Reviewer Name,Review Date
QAC_001,Factual,Easy,Administrative,What is the constitutional status and form of government of Sri Lanka?,"According to Article 1 of the Constitution, Sri Lanka (Ceylon) is a Free, Sovereign, Independent and Democratic Socialist Republic and shall be known as the Democratic Socialist Republic of Sri Lanka. Article 2 further declares that the Republic of Sri Lanka is a Unitary State.","Article 1, Article 2","Art. 1: Sri Lanka (Ceylon) is a Free, Sovereign, The State Independent and Democratic Socialist Republic and shall be known as the Democratic Socialist Republic of Sri Lanka. || Art. 2: The Republic of Sri Lanka is a Unitary State. Unitary State",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_002,Factual,Easy,Administrative,Where does sovereignty reside under the Constitution of Sri Lanka?,"Article 3 of the Constitution declares that in the Republic of Sri Lanka, sovereignty is in the People and is inalienable. Sovereignty includes the powers of government, fundamental rights and the franchise.",Article 3,"Art. 3: In the Republic of Sri Lanka sovereignty is Sovereignty in the People and is inalienable. Sovereignty includes the of the People powers of government, fundamental rights and the franchise.",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_003,Factual,Easy,Administrative,What is the constitutional status of Buddhism in Sri Lanka?,"Article 9 of the Constitution gives Buddhism the foremost place in Sri Lanka. It shall be the duty of the State to protect and foster the Buddha Sasana, while assuring to all religions the rights granted by Articles 10 and 14(1)(e) of the Constitution.",Article 9,"Art. 9: The Republic of Sri Lanka shall give to Buddhism Buddhism the foremost place and accordingly it shall be the duty of the State to protect and foster the Buddha Sasana, while assuring to all religions",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_004,Factual,Easy,Administrative,"What is the right to freedom of thought, conscience and religion under the Constitution?","Article 10 of the Constitution guarantees that every person is entitled to freedom of thought, conscience and religion, including the freedom to have or to adopt a religion or belief of his choice.",Article 10,"Art. 10: Every person is entitled to freedom of thought, thought, conscience and religion, including the freedom to have or conscience and religion to adopt a religion or belief of his choice. Freedom",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_005,Factual,Easy,Administrative,What does the Constitution say about protection from torture and cruel treatment?,"Article 11 of the Constitution provides that no person shall be subjected to torture or to cruel, inhuman or degrading treatment or punishment. This is an absolute protection with no exceptions or qualifications.",Article 11,"Art. 11: No person shall be subjected to torture or to from torture cruel, inhuman or degrading treatment or punishment. Right to",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_006,Factual,Medium,Administrative,What is the right to equality before the law in Sri Lanka?,"Article 12 of the Constitution provides that all persons are equal before the law and are entitled to the equal protection of the law. Under Article 12(2), no citizen shall be discriminated against on the grounds of race, religion, language, caste, sex, political opinion, place of birth or any one of such grounds. Article 12(3) further provides that no person shall, on such grounds, be subject to any disability, liability, restriction or condition with regard to access to shops, public restaurants, hotels, places of public entertainment and places of public worship of his own religion.","Article 12, Article 12, Article 12","Art. 12: (1) All persons are equal before the law and are equality entitled to the equal protection of the law. (2) No citizen shall be discriminated against on the grounds of race, religion, language, caste, || Art. 12: (1) All persons are equal before the law and are equality entitled to the equal protection of the law. (2) No citizen shall be discriminated against on the grounds of race, religion, language, caste, || Art. 12: (1) All persons are equal before the law and are equality entitled to the equal protection of the law. (2) No citizen shall be discriminated against on the grounds of race, religion, language, caste,",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_007,Factual,Medium,Criminal,What constitutional rights apply to a person who is arrested or detained?,"Article 13 of the Constitution provides that every person held in custody, detained or otherwise deprived of personal liberty shall be brought before the judge of the nearest competent court according to procedure established by law, and shall not be further held in custody, detained or deprived of personal liberty except upon and in terms of the order of such judge. Article 13(5) also establishes the presumption of innocence: every person shall be presumed innocent until proved guilty.","Article 13, Article 13","Art. 13: (1) No person shall be arrested except according Freedom from to procedure established by law. Any person arrested shall arbitrary arrest, be informed of the reason for his arrest. detention and punis || Art. 13: (1) No person shall be arrested except according Freedom from to procedure established by law. Any person arrested shall arbitrary arrest, be informed of the reason for his arrest. detention and punis",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_008,Factual,Medium,Administrative,What freedoms are protected under Article 14 of the Constitution?,"Article 14 of the Constitution protects several fundamental freedoms including: (b) the freedom of peaceful assembly; (c) the freedom of association; (d) the freedom to form and join a trade union; (e) the freedom, either by himself or in association with others, and either in public or in private, to manifest his religion or belief in worship, observance, practice and teaching; and (f) the freedom by himself or in association with others to enjoy and promote his own culture and to use his own language.",Article 14,"Art. 14: (1) Every citizen is entitled to  speech, assembly, (a) the freedom of speech and expression association, including publication; occupation, movement, & c. (b) the freedom of peaceful assembly; (c) th",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_009,Procedural,Medium,Administrative,How can a person enforce their fundamental rights in Sri Lanka?,"Under Article 17 of the Constitution, every person shall be entitled to apply to the Supreme Court, as provided by Article 126, in respect of the infringement or imminent infringement, by executive or administrative action, of a fundamental right to which such person is entitled under the provisions of Chapter III of the Constitution.",Article 17,"Art. 17: Every person shall be entitled to apply to the for the Supreme Court, as provided by Article 126, in respect of infringement of the infringement or imminent infringement, by executive fundamental righ",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_010,Factual,Easy,Administrative,What are the National Languages of Sri Lanka under the Constitution?,Article 19 of the Constitution provides that the National Languages of Sri Lanka shall be Sinhala and Tamil. Article 20 further provides that a Member of Parliament or a member of a Provincial Council or a Local Authority shall be entitled to perform his duties and discharge his functions in Parliament in either National Language.,Article 19,Art. 19: The National Languages of Sri Lanka shall be National Languages Sinhala and Tamil.,LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_011,Factual,Medium,Administrative,What are the Directive Principles of State Policy and who are they binding on?,"Article 27(1) of the Constitution provides that the Directive Principles of State Policy shall guide Parliament, the President and the Cabinet of Ministers in the enactment of laws and the governance of Sri Lanka for the establishment of a just and free society. However, Article 29 makes clear that these provisions do not confer or impose legal rights or obligations and are not enforceable in any court or tribunal.","Article 27, Article 29","Art. 27: (1) The Directive Principles of State Policy Directive Principles herein contained shall guide Parliament, the President of State and the Cabinet of Ministers in the enactment of laws and Policy the g || Art. 29: The provisions of this Chapter do not confer or Principles of State impose legal rights or obligations and are not enforceable Policy and in any court or tribunal. No question of inconsistency fundame",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_012,Factual,Medium,Administrative,What does the Constitution say about the State's obligation to establish a democratic socialist society?,"Article 27(2) of the Constitution provides that the State is pledged to establish in Sri Lanka a Democratic Socialist Society, the objectives of which include: (a) the full realization of the fundamental rights and freedoms of all persons; (b) the promotion of the welfare of the People by securing and protecting as effectively as may be a social order in which justice (social, economic and political) shall guide all the institutions of the national life.",Article 27,"Art. 27: (2) The State is pledged to establish in Sri Lanka a Democratic Socialist Society, the objectives of which include  (a) the full realization of the fundamental rights and freedoms of all persons; (b)",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
